University Name,Category,Campuses,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education,Campus_count
Brains Institute Peshawar,General,Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
Capital University of Science & Technology,General,Islamabad,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
CECOS University of Information Technology & Emerging Sciences,General,Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Agriculture & Veterinary,Bahawal Pur,,Public,Government of Punjab,Bahawal Pur,Punjab,Yes,No,1
City University of Science and Information Technology,General,Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
Commecs Institute of Business & Emerging Sciences,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"COMSATS University, Islamabad",General,Mian Campus; Abbottabad; Attock; Lahore; Sahiwal; Vehari,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,6
Dadabhoy Institute of Higher Education,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Dar-ul-Madina International University, Islamabad",General,Mian Campus,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Dawood University of Engineering & Technology,Engineering & Technology,Karachi,,Public,Government of Pakistan,Karachi,Sindh,Yes,No,1
DHA Suffa University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
DOW University of Health Sciences,General,Karachi,,Public,Government of Sindh,Karachi,Sindh,Yes,No,1
"Emaan Institute of Management & Sciences, Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Emerson University, Multan",General,Mian Campus,,Public,Government of Punjab,Multan,Punjab,Yes,No,1
"Faisalabad Medical University, Faisalabad",Medical,Mian Campus,,Public,Government of Punjab,Faisalabad,Punjab,Yes,No,1
"Fatima Jinnah Medical University, Lahore",Medical,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Fatima Jinnah Women University,General,Rawalpindi,,Public,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
"Federal Urdu University of Arts, Sciences & Technology",General,Islamabad; Karachi,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,2
Forman Christian College,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Foundation University,General,Islamabad,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Gambat Institute of Medical Sciences,General,Khairpur,,Public,Government of Sindh,Khairpur,Sindh,Yes,No,1
Gandhara University,General,Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
"Ghazi National Institute of Engineering and Sciences, Dera Ghazi Khan",General,Mian Campus,,Private,Government of Punjab,Dera Ghazi Khan,Punjab,Yes,No,1
Ghazi University,General,Dera Ghazi Khan,,Public,Government of Punjab,Dera Ghazi Khan,Punjab,Yes,No,1
Ghulam Ishaq Khan Institute of Engineering Sciences & Technology,General,Mian Campus; Swabi,,Private,Government of Khyber Pakhtunkhwa,Abbottabad,Khyber Pakhtunkhwa,Yes,No,2
GIFT University,General,Gujranwala,,Private,Government of Punjab,Gujranwala,Punjab,Yes,No,1
"Global Institute, Lahore",General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Gomal University,General,Dera Ismail Khan,,Public,Government of Khyber Pakhtunkhwa,Dera Ismail Khan,Khyber Pakhtunkhwa,Yes,No,1
"Government College for Women University, Faisalabad",General,Faisalabad,,Public,Government of Pakistan,Faisalabad,Punjab,Yes,No,1
